Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean,Scope
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.8450704225352155,0.7519241286410436,-0.3367287742287697,2.47933884297521,0.8295,10000,1122,82.54630222680568,83.39505554772082,NeedleQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,1.9305019305019258,1.5900284840776304,-1.1450381679389283,5.158730158730158,0.8647,10000,1122,60.27077469992626,62.21544285982561,Order
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.3710575139146641,0.5973893029761451,-0.7633952680513211,1.5748376242811994,0.6809,10000,1122,81.42154622446449,81.80019816902055,PlotQA
InternVL3-8B,MLVU-Dev M-AVG,Core32,Full,0.7604562737642624,0.9398701272017498,-1.1070110701107012,2.6315789473684106,0.7217,10000,1122,87.42815541213854,88.17855408860598,Topic Reasoning
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,0.2759889604415804,0.33055718243520427,-0.3700277520813987,0.9319664492078207,0.778,10000,1122,74.97244612014438,75.24737153785837,Micro accuracy
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,-0.5,0.860814684797928,-2.252252252252248,1.069518716577548,0.179,10000,1122,78.00412051228932,77.50667615766719,Anomaly Recognition
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,1.4563106796116543,1.4547409980817625,-1.3824884792626762,4.327445652173909,0.7988,10000,1122,50.95792025745718,52.42226111058745,Count
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,0.8522727272727337,0.8362055272069616,-0.7434944237918163,2.5478158098915595,0.7935,10000,1122,68.20397877445751,69.02986895834759,Egocentric Reasoning
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,-0.2816901408450718,0.2741434008704626,-0.9036144578313241,0.0,0.0,10000,1122,83.70026010145492,83.4220821140161,NeedleQA
InternVL3-8B,MLVU-Dev M-AVG,E40,Full,0.386100386100388,1.4843833824776325,-2.5180611813070586,3.305785123966942,0.5554,10000,1122,61.76849941374876,62.15753637787079,Order
