Backbone,Dataset,Method A,Method B,Delta,Bootstrap SE,CI low,CI high,P(delta>0),Replicates,Sampled cluster count,Metric A bootstrap mean,Metric B bootstrap mean
LLaVA-NeXT-Video-7B,VideoMME,Core32,E40,0.4074074074074119,0.468306260313119,-0.518518518518519,1.3333333333333357,0.7919,10000,900,61.072348148148144,61.47774444444445
LLaVA-NeXT-Video-7B,VideoMME,Core32,E48,1.8148148148148238,0.5145505195776763,0.8518518518518476,2.8518518518518476,0.9998,10000,900,61.08205185185185,62.903144444444436
LLaVA-NeXT-Video-7B,VideoMME,Core32,Full,1.4074074074074119,0.3854493511544879,0.6666666666666714,2.1851851851851833,0.9998,10000,900,61.078444444444436,62.48508888888889
LLaVA-NeXT-Video-7B,VideoMME,E40,Full,1.0,0.3432078382837718,0.3333333333333286,1.6666666666666643,0.9974,10000,900,61.48413703703704,62.4835
LLaVA-NeXT-Video-7B,VideoMME,E48,Full,-0.4074074074074119,0.36616029699794955,-1.1111111111111143,0.3333333333333286,0.1208,10000,900,62.90304444444444,62.49354444444445
LLaVA-NeXT-Video-7B,LongVideoBench,Core32,E40,1.1219147344801925,0.5921734288003027,0.0,2.284460816695581,0.9672,10000,753,60.438594368879116,61.56129148530574
LLaVA-NeXT-Video-7B,LongVideoBench,Core32,E48,0.0,0.69846805123504,-1.3729977116704788,1.3544018058690739,0.4778,10000,753,60.426514037016744,60.41929717012892
LLaVA-NeXT-Video-7B,LongVideoBench,Core32,Full,0.44876589379208554,0.5096148962403352,-0.5299116257197273,1.4448724147783496,0.7903,10000,753,60.45472091260847,60.90274390875625
LLaVA-NeXT-Video-7B,LongVideoBench,E40,Full,-0.673148840688107,0.3877666712713282,-1.441578148710171,0.07496251874062665,0.0332,10000,753,61.54579386244548,60.871535546672135
LLaVA-NeXT-Video-7B,LongVideoBench,E48,Full,0.44876589379208554,0.5284130681416035,-0.5818499867479495,1.4947962609550192,0.783,10000,753,60.436730216134144,60.88106466632795
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,Core32,E40,0.4870787897097415,0.5347856096589341,-0.548030928575886,1.5421366408688948,0.8188,10000,1122,67.88213552163616,68.36596241926227
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,Core32,E48,-0.09255828380425157,0.608000500258497,-1.2660377081526186,1.1016763398162868,0.4404,10000,1122,67.89406869460822,67.80395510804337
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,Core32,Full,0.7700055614818666,0.4566738690555594,-0.1444799248417823,1.6528539356955474,0.9507,10000,1122,67.8854829171876,68.64729740544745
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,E40,Full,0.2829267717721251,0.3322631689038001,-0.3564415586225671,0.9524657766838182,0.8148,10000,1122,68.35610555791115,68.64750312736433
LLaVA-NeXT-Video-7B,MLVU-Dev M-AVG,E48,Full,0.8625638452861182,0.4544605257875145,-0.029210213718085496,1.7632716219489286,0.971,10000,1122,67.77368780607705,68.64419291930875
